date,Up/Down,원/달러(저가),원/달러(종가), open _x, high _x, low _x, close _x,전일대비,증감률, volume _x, value ,MA(5),WMA(5),중심선, 상한선 ,하한선,%B,band width,전일대비.1,상승분,하락분,AU,AD,RS,RSI, 12EMA ,26EMA,MACD, MACD 시그널 ,%K,%D, open _y, high _y, low _y, close _y, volume _y, 환률 ,  원화환산  ,open,high,low,close,volume,소비자물가지수,등락,등락률,market_premium,price_usd_open,price_usd_high,price_usd_low,price_usd_close,price_usd_adj_close,nvt_golden_cross,stock_to_flow,stock_to_flow_reversion,puell_multiple,stablecoin_supply_ratio,mpi,outflow_total,outflow_top10,outflow_mean,outflow_mean_ma7,reserve_x,reserve_usd_x,reserve_y,reserve_usd_y,reserve_bi,reserve_usd_bi,FGI,reserve_co,reserve_usd_co,reserve_der,reserve_usd_der,reserve_spot,reserve_usd_spot,reserve_all,reserve_usd_all,reserve,reserve_usd
2018-02-11,Down,1089.0,1092.1,9958000,10045000,9021000,9320000,-639000,-0.0642,17673,167000000000.0,9415000,9571333,9137900,10440515,7835284.953,0.57,0.29,-639000,0,639000,498400.0,645500.0,0.77211464,43.57024215,9957804,11950424,-1992619,-2221822,49.88747187,77.48900765,8533.99,8549.0,7726.53,8063.88,45025,1092,8805757,8547.48,8547.49,7851.0,8072.99,16804.113380000003,247.87,1,1.34,75.26233914333334,14.643333333333333,14.923333333333334,14.093333333333332,14.693333333333333,14.693333333333333,-0.443915092,8931.961481,0.90133981,1.302114745,58.78106415,-1.072863482,106.028168,104.0243321,1.49335448,3.2551616660000002,685087.0454,5515452542,685087.0454,5515452542,130914.4966,1053957592.0,31,639463.4469,5148149155,685087.0454,5515452542,1408060.3480000002,11335917206,2093147.3930000002,16851369748.0,685087.0453928891,5515452541.673508
2018-02-12,Up,1081.6,1084.6,9319000,10195000,9305000,10140000,820000,0.08800000000000001,14757,145000000000.0,9765600,9813000,9210900,10641828,7779971.504,0.82,0.31,820000,820000,0,640400.0,645500.0,0.992099148,49.80169531,9985834,11816318,-1830484,-2143555,77.02582369,69.88124057,8063.82,8989.0,8053.0,8903.0,41988,1085,9659755,8073.0,8950.0,8072.99,8872.28,19718.28617,247.87,1,1.34,75.94897078,14.665,15.05,14.37,14.87,14.87,-0.270725434,8125.856528,1.09410743,1.506038795,64.84405556,-0.808410263,244.61494390000001,236.22437119999998,1.78551054,3.4111560460000003,682954.8976,6071851494,682954.8976,6071851494,127925.3385,1137327898.0,42,639306.0817,5683789078,682954.8976,6071851494,1402092.023,12465383254,2085046.92,18537234748.0,682954.8975846091,6071851494.269822
2018-02-13,Down,1080.4,1084.5,10149000,10220000,9630000,9906000,-234000,-0.0231,13736,136000000000.0,9850800,9859800,9249500,10731608,7767391.704,0.72,0.32,-234000,0,234000,640400.0,549000.0,1.166484517,53.84227342,9973552,11674813,-1701261,-2055096,54.12844037,60.34724531,8903.0,8950.0,8351.0,8539.9,35455,1085,9265792,8872.27,8925.0,8393.1,8520.01,13952.55755,247.87,1,1.34,77.67699948,14.695,14.7,14.05,14.39,14.39,-0.6768734790000001,8225.952339,1.03296125,1.477464226,62.14281183,-0.969516295,238.73407659999998,230.71176040000003,1.95683669,3.471653331,680634.7182,5783414457,680634.7182,5783414457,125293.5711,1064630750.0,35,639187.1889,5431231071,680634.7182,5783414457,1401291.6519999998,11906901285,2081926.37,17690315742.0,680634.7181790591,5783414457.492102
2018-02-14,Up,1076.0,1077.2,9906000,10510000,9896000,10473000,567000,0.0572,17265,177000000000.0,9959600,10067200,9406800,11033942,7779657.522999999,0.83,0.35,567000,567000,0,628166.6667,376000.0,1.670656028,62.5560166,10050390,11585790,-1535400,-1951157,88.80733945,73.3205345,8535.17,9489.6,8533.0,9449.99,40812,1077,10177639,8520.01,9482.5,8520.0,9472.98,24374.64431,247.87,1,1.34,82.79481853,15.205,16.5875,15.2,16.44,16.44,-0.915601427,7537.626724,1.25597126,1.67708976,69.0032413,-0.940196468,127.98736029999999,117.7033271,0.95512955,1.82367561,676098.179,6400650195,676098.179,6400650195,124181.6921,1175633357.0,55,639137.5876,6050742705,676098.179,6400650195,1401043.2040000001,13263735553,2077141.3830000001,19664385748.0,676098.1790235392,6400650194.988454
2018-02-15,Up,1076.0,1077.2,10473000,11459000,10355000,11357000,884000,0.0844,26679,293000000000.0,10239200,10533000,9759300,11396334,8122265.596,0.99,0.34,884000,884000,0,640500.0,376000.0,1.703457447,63.01032956,10251407,11568842,-1317435,-1824412,95.81624282,79.58400755,9449.98,10219.5,9301.5,10000.09,52428,1077,10770097,9472.98,10249.81,9342.46,10031.23,32372.7974,247.87,1,1.34,95.89552631,17.36,19.41,16.44,18.64,18.64,-0.50571851,10300.505220000001,0.97646424,1.3453045190000001,72.94285465,-0.950315881,143.5419133,126.1848037,1.17657306,1.47100651,679153.8974,6830980837,679153.8974,6830980837,125036.8311,1257629825.0,71,636635.6441,6403329056,679153.8974,6830980837,1391361.3180000002,13994416493,2070515.216,20825397330.0,679153.8974167992,6830980836.760473
2018-02-16,Up,1076.0,1077.2,11357000,11800000,11151000,11462000,105000,0.0092,20285,232000000000.0,10667600,10940600,10041300,11779724,8302876.335,0.91,0.35,105000,105000,0,564000.0,436500.0,1.29209622,56.37181409,10437652,11560928,-1123276,-1684185,86.45290581,90.35882936,10000.89,10323.37,9666.0,10159.98,38161,1077,10942298,10031.23,10307.68,9729.58,10167.49,17843.54691,247.87,1,1.34,83.83156133,17.75,19.4,17.49,17.76,17.76,0.150834246,8595.689068000001,1.18577172,1.621386575,74.06766859,-0.9670910309999999,248.3351495,235.39970469999997,2.05235661,1.524969854,675754.7204,6887646881,675754.7204,6887646881,124602.795,1270017103.0,67,636851.0632,6491120383,675754.7204,6887646881,1391451.259,14182401745,2067205.979,21070048626.0,675754.7203549992,6887646881.086338
2018-02-17,Up,1076.0,1077.2,11452000,12318000,11400000,12300000,838000,0.0731,34046,406000000000.0,11099600,11484733,10432600,12264446,8600753.675,1.01,0.35,838000,838000,0,527571.4286,436500.0,1.208640157,54.72327184,10724167,11615674,-891507,-1525649,99.33035714,93.86650193,10156.07,11075.07,10050.0,11039.55,41882,1077,11889595,10167.49,11149.0,10057.0,11121.5,20781.561680000003,247.87,1,1.34,84.7486339925,18.3275,19.65,18.0,18.317500000000003,18.317500000000003,0.187070536,9058.202575,1.21736072,1.624888958,80.71230106,-0.7374766009999999,116.06066329999999,109.43927590000001,0.60764745,1.432486911,675138.0809,7444815132,675138.0809,7444815132,122851.6289,1354697197.0,74,636575.2621,7019579072,675138.0809,7444815132,1389852.049,15326037527,2064990.13,22770852660.0,675138.0809337791,7444815132.264876
2018-02-18,Down,1076.0,1077.2,12300000,12755000,11522000,11966000,-334000,-0.0272,44163,538000000000.0,11511600,11773533,10681200,12601096,8761304.002999999,0.83,0.36,-334000,0,334000,540666.6667,402333.3333,1.343827672,57.33474726,10915218,11641624,-726406,-1365801,72.40293809,86.06206701,11039.55,11274.0,10080.0,10383.43,61137,1077,11182954,11121.5,11299.1,10159.0,10380.04,26975.9358,247.87,1,1.34,85.66570665500001,18.905,19.9,18.509999999999998,18.875,18.875,0.036883626,8332.309775,1.25903264,1.759355646,75.74402914,-0.959942082,120.6637118,114.309748,1.06782046,1.371696337,668923.0394,7017437483,668923.0394,7017437483,121181.164,1271269178.0,63,636854.1999,6681014512,668923.0394,7017437483,1391436.07,14597068812,2060359.11,21614506295.0,668923.0393563391,7017437482.823579
2018-02-19,Up,1066.4,1067.6,11966000,12663000,11862000,12649000,683000,0.0571,22700,278000000000.0,11946800,12152667,10953200,13124061,8782339.01,0.89,0.4,683000,683000,0,649500.0,402333.3333,1.6143330569999998,61.74932657,11181954,11716245,-534291,-1199499,95.58333333,89.10554286,10375.01,11250.0,10270.33,11153.0,40831,1068,11911404,10380.03,11274.11,10297.39,11140.0,17634.43505,247.87,1,1.34,86.5827793175,19.482499999999998,20.15,19.02,19.432499999999997,19.432499999999997,-0.056337066,8333.309775,1.33878378,1.7820976080000002,81.26463525,-0.927382687,121.14193909999999,111.6168925,0.84126347,1.236803899,670106.3726,7476041746,670106.3726,7476041746,120269.88900000001,1341791016.0,67,636550.4086,7101674634,670106.3726,7476041746,1388743.696,15493519046,2058850.0690000001,22969560792.0,670106.3726229192,7476041746.167598
2018-02-20,Up,1068.6,1073.5,12649000,14149000,12645000,13548000,899000,0.0711,41016,547000000000.0,12385000,12686400,11312100,13860673,8763527.466,0.94,0.45,899000,899000,0,685142.8571,284000.0,2.412474849,70.69575472,11545961,11851930,-305969,-1020793,79.9533022,82.64652454,11147.11,11786.01,11100.59,11200.99,48153,1074,12029863,11140.0,11775.0,11000.0,11235.57,28425.12095,247.87,1,1.34,87.49985198,20.06,20.4,19.53,19.99,19.99,0.630165698,9575.441019,1.16570088,1.6471681619999998,81.76238470000001,-0.617673082,127.3871322,118.36784420000001,0.95065024,1.093062977,676962.3219,7556321133,676962.3219,7556321133,120120.1174,1340792763.0,74,637238.3922,7112918658,676962.3219,7556321133,1395819.7319999998,15580279431,2072782.054,23136600565.0,676962.3218927091,7556321133.198608
